       vid      speed    waitTime  roadId  probability  timestamp
325   1756  77.359645  131.387495       3     0.765018          0
391   1838   9.497673  137.262066       3     0.968458          0
393   1832  22.611945  123.091936       3     0.949501          0
411   1853  26.676465   81.562952       3     0.814645          0
498   1833  26.324597   38.765390       3     0.977487          0
523   1297  18.840158  119.040820       3     0.898610          0
547    400   8.702182  119.811996       3     0.828018          0
573    141  25.730377  105.620993       3     0.994860          0
596   1579  18.392868   16.321646       3     0.752090          0
636   1649  28.580102   94.904644       3     0.945665          0
697   1203  21.480751   81.505199       3     0.775339          0
766    180   7.491333  105.082637       3     0.940614          0
808    616   4.516673   61.087874       3     0.959108          0
810    921  20.499542   26.181567       3     0.935087          0
826   1796   8.537473  112.427158       3     0.939496          0
909   1290   4.141083  123.616037       3     0.762801          0
956    108   7.573950   97.122556       3     0.863377          0
1020  1055  64.116698  103.955372       3     0.771567          0
1030   805  30.975540  113.514833       3     0.990205          0



       vid      speed    waitTime  roadId  probability  timestamp
55    1214  56.258314  139.023479       5     0.920323          1
315   1045   1.820816   66.331417       5     0.932257          1
327    161   2.105201   58.940793       5     0.922195          1
383   1756  14.165862   30.451943       5     0.900052          1
490   1390   0.622193  142.892957       5     0.855097          1
552   1176  15.929762   35.818387       5     0.977035          1
751   1078  58.244938  138.263500       5     0.780515          1
903    599   2.965322   25.127857       5     0.794415          1
946   1700   2.452924  115.157471       5     0.851752          1
972    773  23.202534   95.201195       5     0.917878          1
1036   161  88.214441  106.970813       5     0.802468          1
1092   847   1.735826   66.247724       5     0.964366          1
1144  1093  86.569332  121.516791       5     0.934859          1
1238  1725  38.305500  122.261128       5     0.945565          1
1431   458  66.597736  130.266597       5     0.920717          1
1473  1508   9.639480   98.120339       5     0.855211          1
1665   368  46.777774  123.441887       5     0.763688          1
1798  1202  70.991594  133.903153       5     0.812809          1



       vid      speed    waitTime  roadId  probability  timestamp
235    301  83.267399  114.200208       8     0.795024          2
453   1428  51.655794  107.688374       8     0.813327          2
525   1245  31.073833  102.514604       8     0.833956          2
547    921  55.894979  120.628902       8     0.966647          2
612    801  18.724965  147.162029       8     0.809425          2
636   1291   9.741246   34.669684       8     0.972552          2
665    879   8.747418  109.749179       8     0.917143          2
766   1619  74.619325  130.693959       8     0.797908          2
977    773  19.460056  100.041971       8     0.866789          2
1060   651   5.103254   89.616711       8     0.975498          2
1072   760   0.103184  104.507531       8     0.929972          2
1085  1272  31.328491  137.251141       8     0.757213          2
1119  1786  53.449337  100.678368       8     0.928736          2
1228  1506  12.723949   99.834739       8     0.998672          2
1344   550  27.336845   34.425490       8     0.970631          2
1350  1620   6.417164   32.724187       8     0.824617          2
1450   920  24.330309  126.967998       8     0.794103          2
1453  1615  16.014179   20.564511       8     0.920574          2
1472   209  19.493427  108.498405       8     0.811600          2
1565   942  72.151849  147.125593       8     0.837088          2
1593   840  82.538139  128.832689       8     0.921046          2
1729  1265  23.318100   52.148599       8     0.978980          2



      vid      speed    waitTime  roadId  probability  timestamp
13   1054  75.270315  110.751100       2     0.951394          3
168  1674  24.798231   11.760485       2     0.846374          3
330    30  74.720262  132.798664       2     0.765543          3
344   601  48.518564  108.271046       2     0.939631          3
348  1281  24.597494   81.883615       2     0.755122          3
383   366  24.467703  125.972753       2     0.802075          3
400   344  80.110761  113.142741       2     0.757068          3
416  1609  42.368083  133.801996       2     0.999999          3
469  1990  88.845262  115.951297       2     0.817678          3
806  1181  40.261723  121.805195       2     0.995296          3



       vid      speed    waitTime  roadId  probability  timestamp
4      677  52.549215  102.502846       8     0.754270          4
128    757  29.963676  126.164881       8     0.863155          4
136   1680  13.056627   30.560243       8     0.930322          4
165    501  64.381644  149.491283       8     0.821508          4
220   1689  36.207488  123.340849       8     0.866336          4
247     76  18.194965   29.363042       8     0.850822          4
336   1429   5.035155   90.911197       8     0.895583          4
364   1233   4.158247  120.904444       8     0.996426          4
394    564   5.035499  118.948943       8     0.942404          4
461    149  27.574523   50.221722       8     0.825935          4
523   1724  63.097532  101.776709       8     0.830880          4
569    834   4.593638   75.799636       8     0.882375          4
760   1895  17.891419   34.661328       8     0.946374          4
771     92   5.613067   10.303107       8     0.756464          4
786    933  19.048249   28.034963       8     0.917165          4
904   1244  51.496688  118.483972       8     0.997683          4
946   1923  82.345365  131.758164       8     0.936964          4
948    425  14.818804   40.531208       8     0.831585          4
956    170  59.971083  124.887827       8     0.881034          4
958    469  87.508317  105.348494       8     0.982350          4
1011  1245  59.668186  138.221401       8     0.808898          4
1087   674  77.131262  108.122376       8     0.753125          4
1694   429  37.885094  116.728206       8     0.993562          4
1816  1280  59.504446  117.668440       8     0.868761          4
1909   582  12.977101   36.323837       8     0.779483          4
1942   614  42.120864  125.455322       8     0.879852          4



       vid      speed    waitTime  roadId  probability  timestamp
11     391  84.780358  110.217353       1     0.783436          5
59     412   6.443471   67.379684       1     0.777261          5
89     353  19.504765  125.098527       1     0.774826          5
103    802  26.328006  137.378882       1     0.763856          5
205   1485  12.379377   26.952398       1     0.751304          5
236    566  17.088320   73.816646       1     0.988235          5
272   1665  25.297246   62.160538       1     0.954833          5
327    547   8.966620  130.977747       1     0.933620          5
490   1710  26.308657   44.745466       1     0.930898          5
501   1155  41.918515  117.526211       1     0.836399          5
601    637  32.852849  117.969292       1     0.845896          5
646    253  88.392424  117.668644       1     0.985740          5
666    343  23.475921   66.515258       1     0.797445          5
687    278  56.481576  130.818844       1     0.789587          5
764    633   9.241614   63.707257       1     0.857627          5
1200  1938  20.325781   99.896752       1     0.790034          5
1206   635   0.708859   43.328544       1     0.799332          5
1435  1663   7.606612  147.988659       1     0.843368          5
1585  1938  27.853581   77.885831       1     0.924878          5
1661  1401   8.045316   32.436408       1     0.846044          5
1715  1163  29.135943   13.276807       1     0.869318          5
1784   796  36.044191  127.736658       1     0.987858          5
1801   748   7.349417  144.175456       1     0.860205          5
1830   394  10.134674  123.725091       1     0.970924          5



      vid      speed    waitTime  roadId  probability  timestamp
28   1875   4.694732  116.583572       3     0.985027          6
95   1182  13.437666  124.450396       3     0.834092          6
125  1839  22.246611   28.677754       3     0.845341          6
348  1021   1.479441    5.407661       3     0.805750          6
470  1661  23.219920   88.645163       3     0.835653          6
472  1387  16.657092   97.957393       3     0.753552          6



       vid      speed    waitTime  roadId  probability  timestamp
54     844   5.240631   73.578033       8     0.811397          7
78     622  66.014487  134.818580       8     0.792781          7
241    353  48.298043  136.753851       8     0.820162          7
311    902   2.366972  100.611344       8     0.811850          7
317   1345   1.427489  117.432321       8     0.805544          7
382    697   0.635676   39.580574       8     0.993063          7
419    507   5.196212  106.409225       8     0.767503          7
707   1251  76.567111  145.279151       8     0.892574          7
770   1240  57.106245  134.931331       8     0.826815          7
798    167  73.094272  149.447232       8     0.753251          7
804    616  88.122430  100.874088       8     0.794194          7
881    103   3.618989   75.886943       8     0.968086          7
939   1275  87.899519  123.182204       8     0.907147          7
985    979  48.810832  149.432634       8     0.997932          7
1121   340  64.991098  136.888755       8     0.771448          7
1139   164   7.631249   83.172341       8     0.865733          7
1140  1524  25.102460   38.509910       8     0.781383          7
1190   127   9.816437  125.479729       8     0.981061          7
1215   504  73.359557  108.145521       8     0.793597          7
1463   826  38.001875  144.681122       8     0.940552          7
1477  1099  87.410276  132.951143       8     0.917409          7



       vid      speed    waitTime  roadId  probability  timestamp
43    1145   0.026022   64.763449       8     0.884185          8
135     67  26.767380   56.583288       8     0.820878          8
202   1514  85.752391  141.772353       8     0.764207          8
275   1461   1.558157   46.756291       8     0.953568          8
285    715  17.595540    5.065074       8     0.762725          8
305   1093  40.107479  143.249396       8     0.929707          8
326    363  74.794136  145.043619       8     0.840453          8
601    945  12.771341   34.833003       8     0.915230          8
613    186  36.077820  141.629031       8     0.791286          8
999   1733  78.196715  118.635646       8     0.943780          8
1166  1366   8.546404    2.750409       8     0.845641          8
1179  1759  51.228056  144.522248       8     0.971751          8
1398   338  41.721594  127.530267       8     0.840485          8
1443   137  47.274367  107.411963       8     0.835996          8
1496   662   0.119230   26.738356       8     0.871944          8
1554  1968  22.557014   38.845318       8     0.761493          8
1576  1209  18.377473    5.185806       8     0.961862          8
1624   921  76.693333  108.377367       8     0.791824          8
1708  1764  16.856288   69.932953       8     0.974045          8



       vid      speed    waitTime  roadId  probability  timestamp
18      93  19.268540  138.945507       5     0.777438          9
38    1695  19.098355   61.865510       5     0.945438          9
155   1553  36.312750  130.840170       5     0.841090          9
271   1643   5.346973  132.209294       5     0.795719          9
377    760  71.770675  128.344218       5     0.891803          9
539    890  13.317895   57.289764       5     0.777653          9
540    252  42.787192  123.713717       5     0.880032          9
596   1398   5.757633   84.659046       5     0.789200          9
770   1401  29.755140  133.247622       5     0.923497          9
820   1805   9.229419  106.350071       5     0.976666          9
838   1871  49.049507  123.696602       5     0.790130          9
1033  1971  21.227544   19.612407       5     0.956188          9
1061  1767  12.969498   41.535580       5     0.966135          9
1069  1684  25.979694   31.316197       5     0.852744          9
1078   122  50.370698  146.795692       5     0.841787          9
1273   690  58.225085  117.815486       5     0.943816          9
1373   159  27.447523   75.276327       5     0.864112          9
1540   555  14.147660  111.126764       5     0.826134          9
1542  1878  89.090080  117.249099       5     0.782979          9
1550   913  89.325205  103.745272       5     0.899946          9
1582  1799   3.514756   99.840019       5     0.807701          9
1632   644  10.143146  130.136271       5     0.839497          9
1644   359  66.791420  112.615114       5     0.809881          9
1653   243  20.990477   63.671791       5     0.762560          9
1695  1325  67.320611  134.384566       5     0.875277          9
1701  1703  16.064047   58.434091       5     0.879607          9
1743   918  20.157898   31.600677       5     0.777093          9



      vid      speed    waitTime  roadId  probability  timestamp
120  1566  18.611988  142.303300       2     0.809801         10
228  1194  23.725881   47.887586       2     0.932825         10



      vid      speed    waitTime  roadId  probability  timestamp
54   1912  12.190461   13.537140       1     0.989645         11
87   1013  53.060224  108.029879       1     0.816663         11
110   428  17.772942  108.228724       1     0.943281         11
125   309   1.178039  117.990319       1     0.832329         11
183   914  34.593701  103.905611       1     0.867916         11



       vid      speed    waitTime  roadId  probability  timestamp
16    1302  47.071637  112.218741       8     0.867776         12
226   1522  29.170813  123.960562       8     0.800854         12
355   1093  10.603872   27.856816       8     0.969101         12
719    577  53.221272  146.974342       8     0.932696         12
772   1183  29.928550   90.838272       8     0.818338         12
845    740  14.995538   54.010153       8     0.751615         12
888    615  10.453367  103.533236       8     0.787070         12
892    266  11.369829  139.632085       8     0.770797         12
924   1965  21.202659  103.976220       8     0.987554         12
1021   869  60.988695  146.379337       8     0.958097         12
1027   986   9.789909   32.128768       8     0.785490         12
1069  1330  62.839180  104.756943       8     0.769824         12
1113  1936   5.547775  109.287283       8     0.882413         12
1454  1978   2.380953    1.706585       8     0.882298         12
1489   982   7.036768   77.159487       8     0.827336         12
1564  1185   1.026896  111.679422       8     0.841522         12



      vid      speed    waitTime  roadId  probability  timestamp
11    904  70.669261  140.540583       6     0.855603         13
57    302  28.868601   66.310178       6     0.818509         13
266   580   5.174626  110.328237       6     0.856371         13
540    15  12.940254   39.593258       6     0.849051         13
588   475  23.104272  136.235219       6     0.750118         13
